timestamp,student_id,tutor_mode,step,kc_idx,kc_name,action_idx,action_name,is_correct,response_time_sec,mean_belief,b_basic_arithmetic,b_adv_arithmetic,b_basic_algebra,b_adv_algebra
2026-07-25T01:11:54.313744,STU_101,Experimental Mode (D3QN RL Tutor),4,3,Advanced Algebra,3,Worked Example,1,2.04,0.5051,0.5543,0.2476,0.6345,0.5839
2026-07-25T01:12:04.464188,STU_101,Experimental Mode (D3QN RL Tutor),5,1,Advanced Arithmetic,0,Easy Problem,1,10.15,0.5959,0.5543,0.6109,0.6345,0.5839
2026-07-25T01:12:11.317509,STU_101,Experimental Mode (D3QN RL Tutor),6,0,Basic Arithmetic,3,Worked Example,1,6.85,0.6731,0.8631,0.6109,0.6345,0.5839
2026-07-25T01:12:16.980204,STU_101,Experimental Mode (D3QN RL Tutor),7,3,Advanced Algebra,3,Worked Example,1,5.66,0.7461,0.8631,0.6109,0.6345,0.8761
2026-07-25T01:12:24.148404,STU_101,Experimental Mode (D3QN RL Tutor),8,1,Advanced Arithmetic,3,Worked Example,1,7.17,0.8152,0.8631,0.8872,0.6345,0.8761
2026-07-25T01:12:29.798003,STU_101,Experimental Mode (D3QN RL Tutor),9,2,Basic Algebra,3,Worked Example,1,5.65,0.8807,0.8631,0.8872,0.8965,0.8761
2026-07-25T01:12:35.496841,STU_101,Experimental Mode (D3QN RL Tutor),10,0,Basic Arithmetic,0,Easy Problem,1,5.7,0.906,0.9641,0.8872,0.8965,0.8761
2026-07-25T01:13:09.481151,STU_102,Experimental Mode (D3QN RL Tutor),1,0,Basic Arithmetic,3,Worked Example,1,4.99,0.3141,0.5543,0.2476,0.2261,0.2286
2026-07-25T10:40:26.450789,STU_101,Control Mode (Standard Linear Tutor),1,0,Basic Arithmetic,0,Easy Problem,1,30.65,0.2993,0.4949,0.2476,0.2261,0.2286
2026-07-25T11:08:34.306854,STU_101,Control Mode (Standard Linear Tutor),2,0,Basic Arithmetic,1,Medium Problem,0,1687.85,0.2376,0.2482,0.2476,0.2261,0.2286
2026-07-25T11:08:58.078648,STU_101,Experimental Mode (D3QN RL Tutor),1,0,Basic Arithmetic,3,Worked Example,1,6.68,0.3141,0.5543,0.2476,0.2261,0.2286
2026-07-25T11:09:08.125627,STU_101,Experimental Mode (D3QN RL Tutor),2,2,Basic Algebra,3,Worked Example,1,10.04,0.4162,0.5543,0.2476,0.6345,0.2286
2026-07-25T11:09:22.693407,STU_101,Experimental Mode (D3QN RL Tutor),3,3,Advanced Algebra,0,Easy Problem,1,14.57,0.5063,0.5543,0.2476,0.6345,0.5888
2026-07-25T11:09:36.245018,STU_101,Experimental Mode (D3QN RL Tutor),4,1,Advanced Arithmetic,3,Worked Example,1,13.55,0.6085,0.5543,0.6567,0.6345,0.5888
2026-07-25T11:09:37.131437,STU_101,Experimental Mode (D3QN RL Tutor),5,0,Basic Arithmetic,3,Worked Example,1,0.88,0.6857,0.8631,0.6567,0.6345,0.5888
2026-07-25T11:09:37.830246,STU_101,Experimental Mode (D3QN RL Tutor),6,3,Advanced Algebra,3,Worked Example,1,0.7,0.7581,0.8631,0.6567,0.6345,0.8781
2026-07-25T11:09:38.485873,STU_101,Experimental Mode (D3QN RL Tutor),7,2,Basic Algebra,3,Worked Example,1,0.65,0.8236,0.8631,0.6567,0.8965,0.8781
2026-07-25T11:09:39.105467,STU_101,Experimental Mode (D3QN RL Tutor),8,1,Advanced Arithmetic,3,Worked Example,1,0.62,0.8857,0.8631,0.9049,0.8965,0.8781
2026-07-25T11:22:57.430961,STU_101,Experimental Mode (D3QN RL Tutor),1,0,Basic Arithmetic,3,Worked Example,1,65.53,0.3141,0.5543,0.2476,0.2261,0.2286
2026-07-25T11:22:59.528236,STU_101,Experimental Mode (D3QN RL Tutor),2,2,Basic Algebra,3,Worked Example,1,2.1,0.4162,0.5543,0.2476,0.6345,0.2286
2026-07-25T11:23:06.827773,STU_101,Experimental Mode (D3QN RL Tutor),3,3,Advanced Algebra,0,Easy Problem,1,7.3,0.5063,0.5543,0.2476,0.6345,0.5888
2026-07-28T12:04:55.860100,STU_101,Experimental Mode (D3QN RL),1,0,Basic Arithmetic,3,Worked Example,1,2.5,0.3141,0.5543,0.2476,0.2261,0.2286
2026-07-28T12:13:07.880659,STU_101,Experimental Mode (D3QN RL),1,0,Basic Arithmetic,3,Worked Example,1,2.5,0.3141,0.5543,0.2476,0.2261,0.2286
2026-07-28T12:13:31.954253,STU_101,Experimental Mode (D3QN RL),2,2,Basic Algebra,3,Worked Example,0,2.5,0.4162,0.5543,0.2476,0.6345,0.2286
2026-07-28T12:13:50.633535,STU_101,Experimental Mode (D3QN RL),3,3,Advanced Algebra,0,Easy Problem,1,2.5,0.4047,0.5543,0.2476,0.6345,0.1823
